id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,review_scores_value,calculated_host_listings_count
2612849,B:2BR for 6ppl 3mins to MongKok MTR,12404807,Melody InHK,within a few hours,0.86,0.78,Yau Tsim Mong,22.31652,114.17006,Entire home/apt,6,464,1,228,2022/6/29,2.21,255,4.6,4
2646158,Prince Edward nice room,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.2781,114.18333,Private room,1,180,30,0,,,365,,384
2648857,New 2BRS Mong Kok MTR Fit 6ppl,13527132,Vincent,within a few hours,0.92,0,Yau Tsim Mong,22.31968,114.16605,Entire home/apt,4,2000,3,5,2018/10/31,0.08,21,4,3
2653430,flatshare Causeway Bay,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.28102,114.18248,Private room,1,180,30,1,2015/6/29,0.01,365,1,384
2653478,Nice presented room in causeway bay(c2d),4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27675,114.18003,Private room,1,180,30,0,,,364,,384
2757546,bedroom en-suite/roof top/spacious,14106467,Roberto,within an hour,1,0,Wan Chai,22.26772,114.1871,Private room,1,500,1,8,2019/9/7,0.08,350,4.25,1
2789756,Luxury 2 bedrooms apt in Hung Hom,14269332,Chung Hon,within an hour,0.93,0,Yau Tsim Mong,22.29946,114.1854,Entire home/apt,4,2285,2,13,2017/11/30,0.13,365,4.5,1
2794976,"2 rooms 1 hall, 30's YMT MTR",3704487,Daniel,,,,Yau Tsim Mong,22.31273,114.17104,Entire home/apt,4,857,28,55,2021/5/31,0.54,0,4.3,3
2856944,Luxury Penthouse w/ Panoramic view Private Rooftop,13861366,Wei,within an hour,1,0.81,Central & Western,22.27655,114.15612,Entire home/apt,4,2623,3,41,2022/8/7,0.54,334,4.78,3
2868081,Visitor monthly rent ????????????,14661584,Wendy,a few days or more,0,,Eastern,22.28763,114.19232,Private room,4,700,30,1,2014/9/3,0.01,84,5,1
2881042,Tsim Sha Tsui MTR Double Rm with private washroom,14626463,Wendy,within an hour,1,0,Yau Tsim Mong,22.29767,114.17158,Private room,2,1210,1,15,2019/10/2,0.18,126,4.47,3
2881064,Tsim Sha Tsui Nice and cozy small double ensuite,14626463,Wendy,within an hour,1,0,Yau Tsim Mong,22.29588,114.17171,Private room,2,968,1,40,2019/8/25,0.42,104,4.63,3
2909327,CWB Clean & Modern Reno in HEART of HK *2B,14861546,Tane Residence,within a day,0.97,0.67,Wan Chai,22.28008,114.18609,Entire home/apt,2,378,60,6,2016/6/26,0.06,260,4.33,115
2939697,"Nice Flatshare, Sheung Wan",4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28579,114.14907,Private room,1,180,30,0,,,365,,384
2970176,CWB Clean & Modern Reno in HEART of HK *2C,14861546,Tane Residence,within a day,0.97,0.67,Wan Chai,22.27859,114.18473,Entire home/apt,2,333,30,44,2022/7/16,0.44,365,4.42,115
2970536,CWB Clean & Modern Reno in HEART of HK *2A,14861546,Tane Residence,within a day,0.97,0.67,Wan Chai,22.27993,114.18438,Entire home/apt,2,468,30,28,2016/4/24,0.28,312,4.19,115
2989687,Room w/ROOFTOP in Yau Ma Tei,4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31281,114.17039,Private room,1,180,30,0,,,365,,384
2989858,Small room available  near HKU,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28469,114.15372,Private room,2,180,30,2,2016/8/21,0.02,364,5,384
2989907,Super Convenient Room in Central,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.27839,114.15166,Private room,1,180,31,1,2018/1/6,0.02,365,5,384
2990012,Nice flatshare in Midlevel central,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28392,114.1487,Private room,1,180,30,0,,,365,,384
2998886,Twin room at Tsim Sha Tsui,14626463,Wendy,within an hour,1,0,Yau Tsim Mong,22.29609,114.17031,Private room,2,1430,1,0,,,77,,3
2999248,Share flat in Sheung Wan,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28593,114.15242,Private room,1,180,30,0,,,365,,384
2999296,Room in Share flat in Sheung Wan,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28662,114.14769,Private room,2,180,30,1,2014/9/15,0.01,344,1,384
2999332,Nice Flatshare in Wan Chai,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27834,114.17328,Private room,1,180,30,1,2014/10/13,0.01,365,,384
2999376,Best Place to Stay in HK~Quarry bay Room (q1b),4584648,Ivy,within a few hours,0.92,0.18,Eastern,22.28807,114.20923,Private room,1,174,30,0,,,365,,384
2999430,Room in Tin Hau,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.28339,114.19076,Private room,2,180,30,1,2014/8/17,0.01,365,2,384
3002319,Sai Ying Pun MTR 1 min walk withrooftop terrace 63,304876,Brend,within a few hours,1,0.96,Central & Western,22.28835,114.14827,Entire home/apt,3,707,2,125,2022/8/21,1.27,199,4.39,10
3021624,Wanchai cozy 3BR+2Bath for 5 (Heart of HK),15397373,Carina,within an hour,1,1,Wan Chai,22.27891,114.17636,Entire home/apt,5,1118,2,162,2022/9/9,1.61,206,4.7,1
3052764,Walk To HKU. Room in STT,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28731,114.13867,Private room,2,180,30,0,,,350,,384
